Mercury,0.38709927,0.20563593,7.00497902,252.2503235,77.45779628,48.33076593
Mercury,0.00000037,0.00001906,-0.00594749,149472.6741,0.16047689,-0.12534081
Venus,0.72333566,0.00677672,3.39467605,181.9790995,131.6024672,76.67984255
Venus,0.0000039,-0.00004107,-0.0007889,58517.81539,0.00268329,-0.27769418
Earth,1.00000261,0.01671123,-0.00001531,100.4645717,102.9376819,0
Earth,0.00000562,-0.00004392,-0.01294668,35999.37245,0.32327364,0
Mars,1.52371034,0.0933941,1.84969142,-4.55343205,-23.94362959,49.55953891
Mars,0.00001847,0.00007882,-0.00813131,19140.30268,0.44441088,-0.29257343
Jupiter,5.202887,0.04838624,1.30439695,34.39644051,14.72847983,100.4739091
Jupiter,-0.00011607,-0.00013253,-0.00183714,3034.746128,0.21252668,0.20469106
Saturn,9.53667594,0.05386179,2.48599187,49.95424423,92.59887831,113.6624245
Saturn,-0.0012506,-0.00050991,0.00193609,1222.493622,-0.41897216,-0.28867794
Uranus,19.18916464,0.04725744,0.77263783,313.2381045,170.9542763,74.01692503
Uranus,-0.00196176,-0.00004397,-0.00242939,428.4820279,0.40805281,0.04240589
Neptune,30.06992276,0.00859048,1.77004347,-55.12002969,44.96476227,131.7842257
Neptune,0.00026291,0.00005105,0.00035372,218.4594533,-0.32241464,-0.00508664
Pluto,39.48211675,0.2488273,17.14001206,238.9290383,224.0689163,110.3039368
Pluto,-0.00031596,0.0000517,0.00004818,145.2078052,-0.04062942,-0.01183482
